job_id,title,company,location,description,experience_level,source,source_url,fetched_at,clean_title,clean_description,extracted_skills,role_category,skills_text
4801466889,Machine Learning Engineer,Quincus,"Toronto, Ontario","“Make every logistics journey your best one yet” The Company. Founded in 2014, Quincus is a B2B supply chain operating SaaS platform headquartered in Singapore. We solve today's global supply chain challenges with groundbreaking technology. Using AI and machine learning, we have digitized and optimized the logistics process while giving customers full transparency into their supply chain. Quincus was founded by two visionary entrepreneurs who possess more than a decade of experience in tech. Ch…",Mid Level,adzuna,https://www.adzuna.ca/details/4801466889,2026-06-10T00:03:16.304815+00:00,machine learning engineer,"“make every logistics journey your best one yet” the company. founded in 2014, quincus is a b2b supply chain operating saas platform headquartered in singapore. we solve today's global supply chain challenges with groundbreaking technology. using ai and machine learning, we have digitized and optimized the logistics process while giving customers full transparency into their supply chain. quincus was founded by two visionary entrepreneurs who possess more than a decade of experience in tech. ch…",['machine learning'],AI/ML,machine learning
5703336396,Machine Learning Engineer,Insight Global,"Etobicoke, Toronto","Job Description Insight Global is hiring a Senior Machine Learning Engineer to join one of our largest enterprise retail clients as they transform the future of digital commerce. This team is building next-generation AI and personalization capabilities that power millions of customer interactions across grocery, beauty, pharmacy, loyalty, and apparel. You'll be part of a high-impact engineering group leveraging advanced machine learning, generative AI, and large-scale cloud infrastructure to re…",Senior,adzuna,https://www.adzuna.ca/details/5703336396,2026-06-10T00:03:16.304864+00:00,machine learning engineer,"job description insight global is hiring a senior machine learning engineer to join one of our largest enterprise retail clients as they transform the future of digital commerce. this team is building next-generation ai and personalization capabilities that power millions of customer interactions across grocery, beauty, pharmacy, loyalty, and apparel. you'll be part of a high-impact engineering group leveraging advanced machine learning, generative ai, and large-scale cloud infrastructure to re…",['machine learning'],AI/ML,machine learning
5329710314,Machine Learning Engineer,Toparo,"Toronto, Ontario","Are you seeking an exciting opportunity to work with groundbreaking, well-known Web3, Blockchain and Fortune 100 organizations? Our client in Toronto is looking for a skilled Machine Learning Engineer to join their well-funded venture (USD 8.5M raised), focused on tackling unique treasury, accounting, and asset management challenges. They have processed over $100B in transactions in the last year! About the Role: As a Machine Learning Engineer, you will be at the forefront of innovation, collab…",Mid Level,adzuna,https://www.adzuna.ca/details/5329710314,2026-06-10T00:03:16.304889+00:00,machine learning engineer,"are you seeking an exciting opportunity to work with groundbreaking, well-known web3, blockchain and fortune 100 organizations? our client in toronto is looking for a skilled machine learning engineer to join their well-funded venture (usd 8.5m raised), focused on tackling unique treasury, accounting, and asset management challenges. they have processed over $100b in transactions in the last year! about the role: as a machine learning engineer, you will be at the forefront of innovation, collab…",['machine learning'],AI/ML,machine learning
5689049184,Machine Learning Engineer,Bree,"Toronto, Ontario","About Bree Bree is a consumer finance platform building faster, simpler, and more affordable financial services for Canadians who often live paycheck to paycheck. We operate in a massive market that’s historically been underserved by traditional financial institutions, and we’re building products that help customers access short-term credit with a transparent, user-first experience. To date, 800,000 Canadians have signed up for Bree—and we believe we’re still early. We’re at an exciting interse…",Mid Level,adzuna,https://www.adzuna.ca/details/5689049184,2026-06-10T00:03:16.304913+00:00,machine learning engineer,"about bree bree is a consumer finance platform building faster, simpler, and more affordable financial services for canadians who often live paycheck to paycheck. we operate in a massive market that’s historically been underserved by traditional financial institutions, and we’re building products that help customers access short-term credit with a transparent, user-first experience. to date, 800,000 canadians have signed up for bree—and we believe we’re still early. we’re at an exciting interse…",[],AI/ML,
5709108629,Machine Learning Engineer,TD Bank,"Toronto, Ontario","Work Location: Toronto, Ontario, Canada Hours: 37.5 Line of Business: Analytics, Insights, & Artificial Intelligence Pay Details: $120,000 - $250,000 CAD The pay details posted reflect a temporary market premium specific to this role that is reassessed annually. TD is committed to providing fair and equitable compensation opportunities to all colleagues. Growth opportunities and skill development are defining features of the colleague experience at TD. Our compensation policies and practices ha…",Mid Level,adzuna,https://www.adzuna.ca/details/5709108629,2026-06-10T00:03:16.304934+00:00,machine learning engineer,"work location: toronto, ontario, canada hours: 37.5 line of business: analytics, insights, & artificial intelligence pay details: $120,000 - $250,000 cad the pay details posted reflect a temporary market premium specific to this role that is reassessed annually. td is committed to providing fair and equitable compensation opportunities to all colleagues. growth opportunities and skill development are defining features of the colleague experience at td. our compensation policies and practices ha…",[],AI/ML,
5329721872,Senior Machine Learning Engineer,Starboard Recruitment,"Vancouver, Greater Vancouver","Follow Starboard Recruitment on LinkedIn for ongoing job opportunities, market updates and advice: https://www.linkedin.com/company/starboard-recruitment Opportunity is with one of Canada's fastest growing, well-funded, Series-B tech startups in the AI / ML domain. Starboard Recruitment, on behalf of our client, is searching for an experienced Sr Machine Learning Engineer. Our team will reach out to qualified candidates and discuss in further detail. Key Responsibilities AI Strategy Development…",Senior,adzuna,https://www.adzuna.ca/details/5329721872,2026-06-10T00:03:17.360466+00:00,senior machine learning engineer,"follow starboard recruitment on linkedin for ongoing job opportunities, market updates and advice: https://www.linkedin.com/company/starboard-recruitment opportunity is with one of canada's fastest growing, well-funded, series-b tech startups in the ai / ml domain. starboard recruitment, on behalf of our client, is searching for an experienced sr machine learning engineer. our team will reach out to qualified candidates and discuss in further detail. key responsibilities ai strategy development…",['machine learning'],AI/ML,machine learning
5736308722,Senior Machine Learning Engineer,Starboard Recruitment,"Vancouver, Greater Vancouver","Job Description Job Description Follow Starboard Recruitment on LinkedIn for ongoing job opportunities, market updates and advice: https://www.linkedin.com/company/starboard -recruitment Opportunity is with one of Canada's fastest growing, well-funded, Series-B tech startups in the AI / ML domain. Starboard Recruitment, on behalf of our client, is searching for an experienced Sr Machine Learning Engineer. Our team will reach out to qualified candidates and discuss in further detail. Key Respons…",Senior,adzuna,https://www.adzuna.ca/details/5736308722,2026-06-10T00:03:17.360532+00:00,senior machine learning engineer,"job description job description follow starboard recruitment on linkedin for ongoing job opportunities, market updates and advice: https://www.linkedin.com/company/starboard -recruitment opportunity is with one of canada's fastest growing, well-funded, series-b tech startups in the ai / ml domain. starboard recruitment, on behalf of our client, is searching for an experienced sr machine learning engineer. our team will reach out to qualified candidates and discuss in further detail. key respons…",['machine learning'],AI/ML,machine learning
5740327349,Adversarial Machine Learning Engineer,C-Serv,"Vancouver, Greater Vancouver","Job Description Job Description The Opportunity We are building a dedicated AI Red Team to rigorously test and harden enterprise-scale AI products. We are looking for an adversarial machine learning specialist who thinks like an attacker. This role focuses on identifying vulnerabilities in LLM-driven systems, breaking model guardrails, exploiting data pathways, and stress-testing AI deployments before they reach enterprise customers. This is a hands-on technical role at the core of AI security.…",Mid Level,adzuna,https://www.adzuna.ca/details/5740327349,2026-06-10T00:03:17.360576+00:00,adversarial machine learning engineer,"job description job description the opportunity we are building a dedicated ai red team to rigorously test and harden enterprise-scale ai products. we are looking for an adversarial machine learning specialist who thinks like an attacker. this role focuses on identifying vulnerabilities in llm-driven systems, breaking model guardrails, exploiting data pathways, and stress-testing ai deployments before they reach enterprise customers. this is a hands-on technical role at the core of ai security.…",['machine learning'],AI/ML,machine learning
5754297504,Machine Learning Engineer (Energy) - MLEEAS,NavitasPartners,"Vancouver, Greater Vancouver","Job Description Job Description Job Title : Machine Learning Engineer (Energy)Industry Energy & Utilities Position Overview The ML Engineer will develop and deploy machine learning models supporting predictive maintenance, energy demand forecasting, asset optimization, and renewable energy production analytics. Responsibilities Develop machine learning pipelines. Build predictive analytics solutions. Deploy ML models into production. Optimize model performance and monitoring. Collaborate with d…",Mid Level,adzuna,https://www.adzuna.ca/details/5754297504,2026-06-10T00:03:17.360615+00:00,machine learning engineer (energy) - mleeas,"job description job description job title : machine learning engineer (energy)industry energy & utilities position overview the ml engineer will develop and deploy machine learning models supporting predictive maintenance, energy demand forecasting, asset optimization, and renewable energy production analytics. responsibilities develop machine learning pipelines. build predictive analytics solutions. deploy ml models into production. optimize model performance and monitoring. collaborate with d…","['monitoring', 'machine learning']",AI/ML,"monitoring, machine learning"
5753060773,Machine Learning Engineer (BFSI) - MLEBAS,NavitasPartners,"Vancouver, Greater Vancouver","Job Description Job Description Job Title: Machine Learning Engineer (BFSI) Position Overview: The ML Engineer will develop, deploy, and optimize machine learning solutions supporting fraud detection, risk analytics, customer intelligence, and financial forecasting. Key Responsibilities: Develop machine learning models and pipelines. Build feature engineering frameworks. Deploy production-grade ML solutions. Optimize model performance and scalability. Collaborate with data scientists and busine…",Mid Level,adzuna,https://www.adzuna.ca/details/5753060773,2026-06-10T00:03:17.360654+00:00,machine learning engineer (bfsi) - mlebas,"job description job description job title: machine learning engineer (bfsi) position overview: the ml engineer will develop, deploy, and optimize machine learning solutions supporting fraud detection, risk analytics, customer intelligence, and financial forecasting. key responsibilities: develop machine learning models and pipelines. build feature engineering frameworks. deploy production-grade ml solutions. optimize model performance and scalability. collaborate with data scientists and busine…",['machine learning'],AI/ML,machine learning
